Games,Sports,Men,Women,Total M+W,Gold,Silver,Bronze,Total
1900,1,1,0,1,0,2,0,2
1920,2,6,0,6,0,0,0,0
1924,2,13,2,15,0,0,0,0
1928,2,21,0,21,1,0,0,1
1932,3,30,0,30,1,0,0,1
1936,4,27,0,27,1,0,0,1
1948,10,79,0,79,1,0,0,1
1952,11,60,4,64,1,0,1,2
1956,8,58,1,59,1,0,0,1
1960,6,45,0,45,0,1,0,1
1964,8,52,1,53,1,0,0,1
1968,5,25,0,25,0,0,1,1
1972,7,40,1,41,0,0,1,1
1976,2,20,0,20,0,0,0,0
1980,1,58,18,76,1,0,0,1
1984,0,0,0,48,0,0,0,0
1988,7,0,0,46,0,0,0,0
1992,5,0,0,53,0,0,0,0
1996,13,44,4,49,0,0,1,1
2000,7,0,0,65,0,0,1,1
2004,14,48,25,73,0,1,0,1
2008,12,31,25,56,1,0,2,3
2012,13,60,23,83,0,2,4,6
2016,15,66,54,118,0,1,1,2
